"id","openalex_id","orcid","name","bio","country","email","h_index","source","source_url","import_time"
"person_09b50ae38f65a772260017d4","A5000000014","","周玉枝","","","",0,"openalex","https://openalex.org/A5000000014","2026-06-15 15:38:34"
"person_1ccfe49759a05722dd797995","A5000000033","","Seçil Sayar Avcıoğlu","","","",1,"openalex","https://openalex.org/A5000000033","2026-06-15 15:38:40"
"person_1d64e3c07811be2216882b4a","A5000000061","","LI Xian-shi","","CN","",1,"openalex","https://openalex.org/A5000000061","2026-06-15 15:39:05"
"person_1ddf7f47479b683b8c6ec600","A5000000039","","Zhou Ding","","CN","",3,"openalex","https://openalex.org/A5000000039","2026-06-15 15:39:23"
"person_26dd6e464c30c6ca8d574525","A5000000020","","Eva Steinhuber","","AT","",3,"openalex","https://openalex.org/A5000000020","2026-06-15 15:39:38"
"person_27c1f84fa72b54d3d78efea9","A5000000007","","Amr K. Mortagy","","EG","",5,"openalex","https://openalex.org/A5000000007","2026-06-15 15:40:14"
"person_34368401fe42295c5800856d","A5000000030","","Xiaoliang SUN Yang SHANG","","CN","",0,"openalex","https://openalex.org/A5000000030","2026-06-15 15:40:20"
"person_3e3af8e1530e3d03d3e3137c","A5000000058","","Víctor Navarro Torres","","","",0,"openalex","https://openalex.org/A5000000058","2026-06-15 15:40:27"
"person_4c11b45f11de8ed92ad3bd39","A5000000019","0000-0002-0708-9517","Rémi Yin","","LU","",1,"openalex+orcid","https://openalex.org/A5000000019","2026-06-15 15:40:40"
"person_8e6dbef6411410507fd09ae7","A5000000004","0000-0001-7247-6970","Şaziye Melike IŞIK","","","",3,"openalex+orcid","https://openalex.org/A5000000004","2026-06-15 15:43:40"
"person_a9d718415ba3bc6360a813d3","A5000000029","","Rathishala Rajendran","","","",1,"openalex","https://openalex.org/A5000000029","2026-06-15 15:41:09"
"person_b264910bb89149d8d1932967","A5000000060","","Lyudmila Fedulenkova Lyudmila Fedulenkova","","RU","",1,"openalex","https://openalex.org/A5000000060","2026-06-15 15:41:17"
"person_ba62732b2c957d7bfd82bbb0","A5000000011","","Fabian Erazo","","","",1,"openalex","https://openalex.org/A5000000011","2026-06-15 15:41:26"
"person_baa842458b21e5e8e9378084","A5000000012","","Jain-An Lin","","TW","",0,"openalex","https://openalex.org/A5000000012","2026-06-15 15:41:33"
"person_caf09855ba87785b4098eabe","A5000000003","","Maltuf Anam","","","",0,"openalex","https://openalex.org/A5000000003","2026-06-15 15:41:40"
"person_de2e9df0b01f08c823605bd0","A5000000040","","施子卿","","","",1,"openalex","https://openalex.org/A5000000040","2026-06-15 15:41:48"
"person_dee3791e19f33411b19b3053","A5000000042","","Juliana Aparecida de Farias","","","",0,"openalex","https://openalex.org/A5000000042","2026-06-15 15:41:55"
"person_ef2f3fbaa39d5d38ef87c0e2","A5000000047","","Alina Chivu","","RO","",2,"openalex","https://openalex.org/A5000000047","2026-06-15 15:42:12"
"person_f3e1651fdedd8e24349ac859","A5000000018","","Emel Mendes","","","",1,"openalex","https://openalex.org/A5000000018","2026-06-15 15:42:27"
"person_f46ee8ca0c4c949cc141b016","A5000000006","","Letícia M. Ochiai","","BR","",2,"openalex","https://openalex.org/A5000000006","2026-06-15 15:42:38"
