"id","author_id","work_title","work_type","venue_name","publication_date","citation_count","authors","source","source_url","import_time"
"work_a324c6a6355e810a2583a225","person_0133c276e6838313d8d0d7ab","Analysis of conflict reduction strategies in Iran; case study: Kharvana district, East Azerbaijan province","article","DOAJ (DOAJ: Directory of Open Access Journals)","2021-05-01",0,"[""Naser-e-Asr Behnam"", ""Nader Habibzadeh""]","openalex","https://openalex.org/W3135530288","2026-06-15 16:02:23"
"work_70ea89b10fb854f15184d478","person_0504e8b2b646926f4be26f9f","Cloning, expression, and characterization of the zebrafish Dicer and Drosha enzymes","journal-article","Biochemical and Biophysical Research Communications","2019-06",5,"[""Peng Li"", ""Qiuhuan Tian"", ""Min Hu"", ""Wenjing Li"", ""Xiaoxiao Zhang"", ""Yan Zeng""]","openalex+crossref","https://openalex.org/W2941024502","2026-06-15 16:03:00"
"work_2b74f83dc413f4b65e66ff80","person_0504e8b2b646926f4be26f9f","Conservation of Differential Animal MicroRNA Processing by Drosha and Dicer","journal-article","Frontiers in Molecular Biosciences","2022-01-03",12,"[""Xiaoxiao Zhang"", ""Fanming Yang"", ""Fanzou Liu"", ""Qiuhuan Tian"", ""Min Hu"", ""Peng Li"", ""Yan Zeng""]","openalex+crossref","https://openalex.org/W4205792969","2026-06-15 16:02:59"
"work_904a7b4913ce2eac2ceb6c9e","person_0e6a50d2dd2d07e9756c01a8","ESTUDIO GENÉTICO POBLACIONAL DE DOS POBLACIONES AFROCOLOMBIANAS DE CHOCÓ Y CAUCA Y UNA POBLACION ""BLANCA"" DE CÓRDOBA MEDIANTE EL USO DE RETROTRANSPOSONES DE LA FAMILIA HUMANA TA (LINE-1)","article","","2003-01-01",1,"[""Lizarralde Olave"", ""Myriam Johanna""]","openalex","https://openalex.org/W2166632011","2026-06-15 16:09:36"
"work_f2125f5e746b91fff2897b0d","person_0e6a50d2dd2d07e9756c01a8","DESARROLLO DE UN PLAN DE NEGOCIOS PARA LA COMERCIALIZACIÓN DE BUFANDAS TEJIDAS A MANO A TRAVÉS DE TIENDAS DEPARTAMENTALES EN QUITO – ECUADOR.","dissertation","","2014-06-01",0,"[""Lara Tarilonte Terán"", ""Myriam Johanna""]","openalex","https://openalex.org/W2336900038","2026-06-15 16:09:36"
"work_ad0ff2e507c8042136094c88","person_0e6a50d2dd2d07e9756c01a8","Diseño arquitectónico de la plaza – museo ciudad bicentenario en Pomasqui, Quito","article","","2014-09-11",0,"[""Hinojosa Barahona"", ""Myriam Johanna""]","openalex","https://openalex.org/W1419704560","2026-06-15 16:09:36"
"work_981ab784458c0440821e23c5","person_19152c0ae6514ae662021d20","Drag coefficient and terminal velocity of spherical and nonspherical particles","journal-article","Powder Technology","1989-05",2062,"[""Ali Shahbaz Haider"", ""Octave Levenspiel""]","openalex+crossref","https://openalex.org/W1974959902","2026-06-15 16:03:27"
"work_4e0db495f728e944477e0e8e","person_19152c0ae6514ae662021d20","Full-Bit Functional, High-Density 8 Mbit One Transistor–One Capacitor Ferroelectric Random Access Memory Embedded within a Low-Power 130 nm Logic Process","journal-article","Japanese Journal of Applied Physics","2007-04-01",12,"[""Krishna Udayakumar"", ""T. S. Moise"", ""Scott R. Summerfelt"", ""K. Boku"", ""K. Remack"", ""J. Gertas"", ""Ali Shahbaz Haider"", ""Yaw S. Obeng"", ""J.S. Martin"", ""J. Antonio Travieso-Rodríguez"", ""G. Shinn"", ""Andrew J. McKerrow"", ""J. Eliason"", ""R. Bailey"", ""Glen R. Fox""]","openalex+crossref","https://openalex.org/W2074136998","2026-06-15 16:03:40"
"work_6057810e4d2ed21a410378ab","person_19152c0ae6514ae662021d20","Full-Bit Functional, High-Density 8Mb 1T-1C FRAM Embedded Within a Low-Power 130nm Logic Process","proceedings-article","Extended Abstracts of the 2006 International Conference on Solid State Devices and Materials","2007-09-18",0,"[""Krishna Udayakumar"", ""T. S. Moise"", ""Scott R. Summerfelt"", ""F. G. Celii"", ""G. Shinn"", ""K. Boku"", ""K. Remack"", ""Ali Shahbaz Haider"", ""David L. Anderson"", ""J. Gertas"", ""Yaw S. Obeng"", ""G. Albrecht"", ""J.S. Martin"", ""J. Rodriguez"", ""B. Khan"", ""S. Aggarwal"", ""N. Schauer"", ""H. McAdams"", ""Siddharth Madan"", ""Andrew J. McKerrow"", ""J. Eliason"", ""J. Groat"", ""R. Bailey"", ""Glen R. Fox"", ""E. Jabillo"", ""James N. Walbert""]","openalex+crossref","https://openalex.org/W2410442752","2026-06-15 16:03:44"
"work_b3a78f7ef39a014fdda5460a","person_19152c0ae6514ae662021d20","Structural Design and Non-linear Modeling of a Highly Stable Multi-Rotor Hovercraft","article","Control theory and informatics","2012-01-01",8,"[""Ali Shahbaz Haider"", ""Muhammad Sajjad""]","openalex","https://openalex.org/W1585909454","2026-06-15 16:03:36"
